종목코드,종목명
039240,경남스틸
019660,글로본
027830,대성창투
001795,대한제당우
025950,동신건설
383930,디티앤씨알오
006920,모헨즈
266470,바이오인프라생명과학
288330,브릿지바이오테라퓨틱스
352770,셀레스트라
020710,시공테크
289010,아이스크림에듀
101390,아이엠
149300,아퓨어스
045660,에이텍
276240,엘리비젼
065500,오리엔트정공
440320,오픈놀
244460,올리패스
376980,원티드랩
015020,이스타코
064090,인크레더블버즈
013360,일성건설
008500,일정실업
004105,태양금속우
116100,태양기계
043220,티에스넥스젠
266350,팡스카이
208710,포톤
308100,형지글로벌
000545,흥국화재우
